RCPT_YR,CGG_CD,CGG_NM,STDG_CD,STDG_NM,LOTNO_SE,LOTNO_SE_NM,MNO,SNO,BLDG_NM,CTRT_DAY,THING_AMT,ARCH_AREA,LAND_AREA,FLR,RGHT_SE,RTRCN_DAY,ARCH_YR,BLDG_USG,DCLR_SE,OPBIZ_RESTAGNT_SGG_NM
2026,11290,성북구,10300,돈암동,1,대지,0552,0009,삼성아지오아파트,20260902,61000,84.98,0.0,4.0,,,2007,아파트,중개거래,서울 성북구
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,65658,50.25,0.0,15.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66262,50.25,0.0,16.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66262,50.25,0.0,16.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66262,50.25,0.0,17.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66262,50.25,0.0,17.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가 마나하임 응암2,20260902,58557,71.65,95.42,4.0,,,2026,오피스텔,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66896,50.25,0.0,18.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66896,50.25,0.0,18.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66896,50.25,0.0,19.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66896,50.25,0.0,19.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66262,50.25,0.0,20.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가 마나하임 응암2,20260902,57972,71.65,95.42,3.0,,,2026,오피스텔,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,66262,50.25,0.0,20.0,,,2026,아파트,직거래,
2026,11380,은평구,10700,응암동,1,대지,0376,0001,미가마하나임,20260902,64360,50.25,0.0,9.0,,,2026,아파트,직거래,
